name,commit,solver,CVE,NDeps,Status,Time
connect-modrewrite,d11af54,maxnpm_cve_oldness,7.5,1.0,success,
connect-modrewrite,d11af54,maxnpm_cve_oldness_pip_else_npm,7.5,1.0,success,
artillery,9be5ced,vanilla,151.40000000000003,141.0,success,
artillery,9be5ced,audit fix,151.40000000000003,141.0,success,
artillery,9be5ced,audit fix force,151.40000000000003,141.0,success,
artillery,9be5ced,maxnpm_cve_oldness,,,missing,
artillery,9be5ced,maxnpm_cve_oldness_pip_else_npm,,,missing,
cypress,8add91e,vanilla,968.35,969.0,success,
cypress,8add91e,audit fix,968.35,969.0,success,
cypress,8add91e,audit fix force,968.35,969.0,success,
cypress,8add91e,maxnpm_cve_oldness,,,missing,
cypress,8add91e,maxnpm_cve_oldness_pip_else_npm,,,missing,
asset-pipe-build-server,326528a,vanilla,115.80000000000001,177.0,success,
asset-pipe-build-server,326528a,audit fix,115.80000000000001,177.0,success,
asset-pipe-build-server,326528a,audit fix force,0.0,113.0,success,
asset-pipe-build-server,326528a,maxnpm_cve_oldness,104.9,161.0,success,
asset-pipe-build-server,326528a,maxnpm_cve_oldness_pip_else_npm,104.9,161.0,success,
bitcore-lib-crown,b88ef1d,vanilla,7.5,12.0,success,
bitcore-lib-crown,b88ef1d,audit fix,7.5,12.0,success,
bitcore-lib-crown,b88ef1d,audit fix force,7.5,12.0,success,
bitcore-lib-crown,b88ef1d,maxnpm_cve_oldness,,,missing,
bitcore-lib-crown,b88ef1d,maxnpm_cve_oldness_pip_else_npm,,,missing,
node-client,4686079,vanilla,0.0,18.0,success,
node-client,4686079,audit fix,0.0,18.0,success,
node-client,4686079,audit fix force,0.0,18.0,success,
node-client,4686079,maxnpm_cve_oldness,0.0,18.0,success,
node-client,4686079,maxnpm_cve_oldness_pip_else_npm,0.0,18.0,success,
material-ui,3a40065,vanilla,0.0,58.0,success,
material-ui,3a40065,audit fix,0.0,58.0,success,
material-ui,3a40065,audit fix force,0.0,58.0,success,
material-ui,3a40065,maxnpm_cve_oldness,,,missing,
material-ui,3a40065,maxnpm_cve_oldness_pip_else_npm,0.0,56.0,success,
request,893e3db,vanilla,,,missing,
request,893e3db,audit fix,,,missing,
request,893e3db,audit fix force,,,missing,
request,893e3db,maxnpm_cve_oldness,,,missing,
request,893e3db,maxnpm_cve_oldness_pip_else_npm,49.6,46.0,success,
node-browserify,cab8bb8,vanilla,,,missing,
node-browserify,cab8bb8,audit fix,,,missing,
node-browserify,cab8bb8,audit fix force,,,missing,
node-browserify,cab8bb8,maxnpm_cve_oldness,,,missing,
node-browserify,cab8bb8,maxnpm_cve_oldness_pip_else_npm,,,missing,
create-react-app,e0558bc,vanilla,122.35,762.0,success,
create-react-app,e0558bc,audit fix,122.35,762.0,success,
create-react-app,e0558bc,audit fix force,0.0,593.0,success,
create-react-app,e0558bc,maxnpm_cve_oldness,,,missing,
create-react-app,e0558bc,maxnpm_cve_oldness_pip_else_npm,,,missing,
cortex-cli,befbad8,vanilla,12.8,246.0,success,
cortex-cli,befbad8,audit fix,12.8,246.0,success,
cortex-cli,befbad8,audit fix force,5.3,246.0,success,
