Package,Oldness
create-ecdh,0.00641025641025641
is-number,0
remove-trailing-separator,0
@nodelib_fs.scandir,0.0
@babel_plugin-proposal-class-properties,0.11092784473618658
ignore,0
tslib,0
mimic-response,0
sisteransi,0
is-date-object,0.0
@babel_helper-replace-supers,0.12677467969849893
lodash,0
is-generator-fn,0
object.assign,0.0
color-name,0
to-arraybuffer,0
css,0.015151515151515152
webpack-dev-middleware,0.082802321313882
faye-websocket,0.009259259259259259
deep-equal,0.00037037037037037035
string-width,0.025
istanbul-lib-source-maps,0.08415678524374176
spdx-exceptions,0
pumpify,0.0
is-absolute-url,0
through,0
@babel_plugin-transform-spread,0.08571428571428572
@babel_plugin-transform-template-literals,0.0
path-is-absolute,0
strip-indent,0.0
@babel_plugin-syntax-optional-catch-binding,0.0
@babel_plugin-proposal-numeric-separator,0.0
yargs,0.10143641997861946
@babel_plugin-proposal-object-rest-spread,0.013447300414548726
ssri,0.0
bl,0.0
fastq,0.0
@babel_preset-modules,0.07222601959444065
babel-plugin-jest-hoist,0.1482368137949306
querystringify,0
etag,0
ajv,0.0
get-caller-file,0
source-map-url,0
@babel_helper-builder-binary-assignment-operator-visitor,0.10714285714285714
tapable,0
esrecurse,0.0
ws,0
browser-process-hrtime,0
is-buffer,0
v8-to-istanbul,0.05378787878787879
ts-node,0.05116959064327485
functional-red-black-tree,0
es-abstract,0.0
xtend,0
load-json-file,0
pkg-up,0.4728785103785103
supports-hyperlinks,0.3111111111111111
combined-stream,0.0
is-extglob,0
chownr,0
yallist,0
call-bind,0.0
cookie-signature,0
asn1.js,0.01282051282051282
minimalistic-crypto-utils,0
leven,0
at-least-node,0
rimraf,0.07707854118745208
y18n,0
xml-name-validator,0
dot-prop,0.3333333333333333
ansi-styles,0
object-is,0.0
@babel_helper-simple-access,0.14285714285714285
bindings,0.3333333333333333
fragment-cache,0.0
node-int64,0
type-detect,0
is-promise,0
map-obj,0
@babel_plugin-transform-exponentiation-operator,0.07142857142857142
abbrev,0
@babel_plugin-transform-function-name,0.16567643894727538
